skewness,curtosis,entropy,y
7.259,0.070827,-7.3004,1
3.3998,-4.4327,-4.2655,1
-9.2828,7.719,-1.7168,1
-3.6792,3.8281,1.6297,0
6.8369,0.69718,-0.55691,0
6.6258,0.48382,-2.2134,0
-7.108,5.6454,0.31335,1
-12.5667,15.1606,-0.75216,1
8.3516,-2.5425,-1.2823,0
-6.839,8.4207,-0.44829,0
-5.7154,3.8298,1.0233,1
-0.30626,1.3347,1.3763,1
-2.806,2.0116,0.67412,0
-1.7672,-0.34474,-0.12372,1
2.2369,2.7236,0.79438,0
6.841,-0.029423,0.44912,0
-4.0599,3.6259,-0.32544,0
5.7919,0.065686,-1.5759,0
7.3273,0.46583,-1.4543,0
2.7521,-0.72261,-2.353,1
-3.0729,3.0423,1.2741,0
0.6394,5.989,-0.58277,0
3.9544,-4.772,-4.4853,1
-3.4619,1.7048,1.1008,1
-0.38903,1.62,1.9103,1
9.5228,-4.0112,-3.5944,0
6.9176,-1.2744,-1.5759,0
7.6274,1.2061,-3.6241,0
-4.7738,8.527,-1.8668,0
3.8923,-4.8277,-4.0069,1
-5.8126,10.8867,-0.52846,1
2.4955,0.79571,-1.1039,1
2.2638,-3.1046,-0.11855,1
-8.1819,12.1291,-1.6017,1
-4.778,6.2109,0.3974,1
2.4955,0.48554,0.36119,0
-10.0712,8.4156,-1.9948,1
-1.4092,1.1582,0.36507,1
6.065,-2.4534,-0.68234,0
-4.4862,3.6558,-0.61251,0
8.3847,-2.0995,-1.9677,0
6.8783,0.44784,-2.2224,0
2.0879,-3.3522,-0.66553,1
1.4816,-0.48355,0.95343,0
5.8561,1.8762,-0.32544,0
0.89392,-1.6283,-0.56854,1
-6.9756,5.5383,-0.12889,1
3.257,-1.3721,1.1668,0
10.3009,-4.8003,-4.3534,0
10.2243,-1.097,-4.0159,0
1.6533,-2.1964,-0.78061,1
3.8944,-4.7275,-4.3948,1
0.23589,-1.8785,1.3258,1
-4.5938,5.9068,0.57196,0
1.5685,-0.084261,-1.7453,1
4.8504,-5.2133,-6.1043,1
8.7903,-2.2324,-0.65259,0
3.7433,-0.40215,-1.2953,1
-3.3584,1.3749,1.3569,1
-0.4449,0.23448,0.27843,0
7.886,-1.6643,-1.8384,0
7.7391,-0.37816,-2.5405,0
-12.0205,11.9149,-2.7552,1
2.8763,0.1548,-1.2086,1
9.1938,-0.9094,-1.872,0
-0.67253,2.7056,0.85774,1
2.4976,1.0313,0.96894,0
9.5332,-3.0789,-2.7746,0
9.5663,-3.7867,-7.5034,0
2.9653,0.20021,-0.056479,0
0.18002,1.7956,0.97282,1
0.12415,-1.0465,-0.86208,1
-6.6072,5.8022,0.31593,1
10.423,-4.1602,-4.9728,0
1.7237,-2.1501,-0.77027,1
-4.4159,5.983,-0.13924,1
6.1975,1.099,-1.131,0
10.0526,-3.8869,-3.7366,0
1.552,7.0806,1.031,0
2.8908,0.59693,0.79825,0
6.3485,-0.73546,-0.58665,0
9.887,-4.6795,-3.7483,0
1.9327,-3.2888,-0.32415,1
0.7098,0.7572,-0.4444,0
9.0862,-1.2281,-1.4996,0
0.25244,0.7623,1.7758,1
3.0687,0.68604,0.80731,0
-7.6563,11.8318,-0.84268,1
-3.3729,2.5976,0.55257,0
2.4542,2.5188,-0.17027,0
-4.4552,4.5718,-0.9888,0
-0.099335,2.8127,0.48662,1
-9.28E-06,4.816,-0.33967,0
-8.6289,10.4403,0.97153,1
2.957,-3.5947,-3.1457,1
-1.0471,8.0514,0.49567,0
-6.301,5.6506,0.19567,1
12.9516,3.3285,-5.9426,0
-2.1521,2.6302,1.1047,0
-0.097265,0.61663,0.061192,1
-5.8023,11.244,-0.3901,1
6.7955,-0.1708,0.4905,0
10.0215,-4.2699,-4.9159,0
3.4598,-3.4405,-3.4276,1
10.1539,-3.8561,-4.2228,0
-12.7095,12.7957,-2.825,1
3.1287,4.2933,0.64696,0
7.8695,0.26876,-3.7883,0
11.2962,-4.0943,-4.3457,0
-10.5244,9.9176,-0.5026,1
-4.7076,7.9186,-1.5487,0
2.6901,0.16165,-1.0224,1
0.5587,-0.38587,-0.66423,1
1.2436,4.2171,0.90429,0
2.1996,-2.5862,-1.2759,1
10.2926,-1.2821,-4.0392,0
-1.9162,-0.15538,-0.11984,1
1.9017,-3.3111,0.065071,1
5.2808,-2.2598,0.075416,0
5.9781,1.3912,-1.1621,0
4.5731,2.057,-0.18967,0
6.0464,-0.11168,-0.58665,0
-0.17383,-0.11339,1.2198,1
5.1939,-1.7971,-1.1763,0
-0.033118,-0.20165,0.55774,1
6.1292,0.84027,0.55257,0
9.4111,1.7305,-4.8629,0
0.42212,2.6225,-0.064238,1
7.6046,-0.47755,-1.8461,0
-6.959,8.8054,1.5289,1
-8.7903,7.9735,-0.45475,1
-9.0366,9.0162,-0.12243,1
11.1472,1.9353,-3.4638,0
-0.091058,-0.31818,0.50214,1
3.8654,-0.3336,-1.2797,1
6.1251,0.52924,0.47886,0
9.2931,-0.7843,-2.1978,0
-3.7971,4.6429,-0.2957,0
-6.8121,7.1398,1.3323,1
-5.7133,5.953,0.45946,1
3.9834,-1.5572,1.0103,0
11.112,-4.2039,-5.0931,0
-3.7413,5.5777,-0.63578,0
10.0857,-4.2931,-3.8142,0
6.7934,0.68604,-7.5887,1
4.78,-5.1362,-3.2362,1
1.0657,8.8294,0.94955,0
-4.449,3.5427,0.15429,0
2.9073,1.0579,0.40774,0
2.5762,1.3098,0.5655,0
-6.841,8.9494,0.68058,1
-13.0551,16.9583,-2.3052,1
3.0294,2.9164,-0.068117,0
6.5079,2.0133,-0.87242,0
5.9781,1.1941,-0.3526,0
1.1815,-0.55552,-0.81165,1
2.1086,0.1368,1.6543,0
1.7299,-3.1963,-0.1457,1
1.5892,7.0078,0.42455,0
-10.3257,8.784,-2.1138,1
-0.22763,1.488,1.2069,1
-6.4748,8.0514,-0.41855,0
2.9984,-1.1664,-1.6185,1
3.1329,-3.0112,-2.9388,1
-0.16555,0.45383,0.51248,0
7.6046,-2.3429,-0.85302,0
12.1177,0.28846,-7.7581,0
-4.8359,6.6479,-0.060358,1
3.4288,-4.0309,-1.4259,1
6.901,-2.0062,-2.7125,0
7.586,-0.28562,-1.6677,0
1.0595,-2.3437,0.39998,1
3.0977,-2.9607,-2.6892,1
2.7645,-0.62578,-2.8573,1
7.6294,1.5754,-3.2233,0
3.6874,-1.9385,-3.8918,1
3.6957,-4.1594,-1.9379,1
1.734,1.6011,0.96765,0
1.7713,0.68946,-0.4638,1
9.3987,0.85998,-5.3336,0
-6.8638,8.132,-0.2401,0
10.1105,-1.6917,-4.3922,0
6.0423,0.26019,-2.053,0
0.27727,0.20792,0.33662,0
2.8701,0.51124,0.5099,0
-6.301,4.7843,1.106,1
0.96427,4.0243,-1.0483,0
5.6946,0.094818,-0.026738,0
10.1457,-4.084,-3.6991,0
7.7763,-2.7473,-1.9353,0
7.7598,-2.4491,-1.2216,0
7.9274,-0.056842,-2.1694,0
6.6486,-0.049987,-6.5206,1
-6.1603,5.606,0.48533,1
2.1065,-0.28305,1.5625,0
10.694,1.7022,-2.9026,0
-5.7381,4.3919,0.3211,1
-0.3104,0.18307,0.44653,1
3.8944,-4.8166,-4.3418,1
-8.213,10.083,0.96765,1
3.5716,0.82742,-1.4957,1
-0.68287,0.096532,1.1965,1
9.2931,0.16594,-4.5396,1
2.8452,-3.6436,-3.1004,1
-6.0237,5.2419,0.29524,1
-0.30005,1.4238,0.024986,1
-2.1252,-0.10397,-0.19225,1
-0.14279,-0.031994,0.35084,1
-0.23798,0.56008,0.05602,1
7.6336,-1.9427,-0.37458,0
-12.8792,13.0597,-3.3125,1
-4.8773,6.4774,0.34179,1
0.73252,-0.67891,0.03533,1
-0.3911,0.93452,0.42972,1
-7.5756,11.8678,-0.57889,1
-1.7775,8.3316,0.35214,0
0.070346,6.8681,-0.50648,0
6.9942,-1.8511,-0.12889,0
8.6806,0.0091344,-3.703,1
5.1401,-0.65063,-5.4306,1
8.3682,-1.4004,-1.6509,0
8.3909,2.1624,-3.7405,0
0.80287,1.6371,1.1875,0
3.286,2.8753,0.087054,0
2.7852,-2.1835,-1.9276,1
-3.2902,3.1674,1.0866,0
7.6625,0.15394,-3.1108,0
-7.9233,6.7156,0.74394,1
-0.52147,-0.40386,1.2017,1
-0.99533,5.3404,-0.15475,0
10.3754,-1.5435,-4.1633,0
-6.6072,4.8254,-0.41984,1
1.9679,-0.42357,-2.1125,1
-4.4697,8.2219,-1.8073,0
0.70768,2.29,1.8663,0
8.7986,-2.1672,-0.74182,0
-5.6574,6.103,0.65214,1
3.6274,3.308,0.48921,0
-4.9518,6.3729,-0.41596,0
2.9094,-1.7859,-2.2069,1
4.2503,-4.9023,-2.6621,1
-12.8047,15.6824,-1.281,1
2.7956,-1.2341,-1.5668,1
3.2074,-0.15966,-0.26208,0
5.6574,0.72974,-1.4892,0
12.1984,0.67661,-8.5482,0
-5.0966,6.6779,0.17498,1
4.0392,-0.3019,-2.1836,1
-1.4402,1.1273,0.16076,1
-0.49457,1.333,1.6543,1
-8.6475,7.6796,-0.66682,1
8.0433,0.044265,-4.4983,1
1.0326,5.6566,-0.41337,0
3.3357,-1.3455,-1.9573,1
8.96,-2.9024,-1.0379,0
5.7526,-0.18537,-0.30087,0
9.6718,-3.9606,-3.1625,0
8.2957,-2.5605,-1.4905,0
-1.4237,2.9241,0.66119,1
3.1681,1.9619,0.18662,0
2.9301,-3.5467,-2.6737,1
6.8369,-0.2702,0.71291,0
3.9606,-1.983,0.40774,0
-6.4334,8.15,-0.89828,0
-3.2633,3.0895,-0.9849,0
-4.9704,3.5025,-0.23751,0
0.25865,-0.84085,0.96118,1
1.254,0.27218,-1.0728,1
-12.8006,15.6199,-0.95647,1
6.9879,0.67833,-7.5887,1
2.1376,-0.47584,-1.3974,1
0.68906,0.77344,1.2095,0
4.0744,-4.7635,-2.6129,1
-4.4552,4.5718,-0.9888,0
8.2316,-3.2511,-1.5694,0
0.13036,-0.031137,-0.35389,1
3.0915,-2.3969,-2.6711,1
3.4019,-3.4859,-3.5569,1
6.6424,-1.1425,-1.0573,0
9.109,-0.62064,-1.7129,0
0.039307,0.05369,-0.23105,1
-13.4979,17.6772,-3.3202,1
10.5471,-1.4175,-4.0327,0
6.9176,-0.79372,0.48403,0
6.8162,-1.2804,0.76076,0
0.66837,-2.0267,1.0271,1
-4.1427,5.2333,-0.40173,0
7.1225,-0.083404,-6.4172,1
4.0951,-4.8037,-2.1112,1
4.8731,-5.2861,-5.8741,1
3.2322,-3.282,-3.1004,1
-7.3046,6.839,-0.59053,1
-1.3678,1.997,0.52283,1
1.2271,0.18564,-1.091,1
-1.7051,1.5026,0.32757,1
-5.974,10.0916,-0.82846,1
7.4163,-1.8245,0.14007,0
3.4329,-1.2144,-2.3789,1
1.6285,-0.88541,-1.4802,1
-7.4494,6.8964,-0.64484,1
3.913,-4.5544,-3.8672,1
-9.8808,8.1088,-1.0806,1
-2.1562,1.7082,0.9017,1
2.5162,0.83341,-0.30993,1
-3.3378,2.5865,-0.54785,0
8.7261,-2.9915,-0.57242,0
-0.69529,0.87711,0.29653,1
-6.6383,5.7491,-0.10691,1
8.9848,-0.9351,-2.4332,0
4.5565,-4.9888,-2.8987,1
11.1513,-3.9272,-4.3444,0
8.8793,-1.9136,-0.53751,0
8.9331,-2.0807,-1.1272,0
12.606,2.9464,-5.7888,0
2.0755,-0.2702,1.2379,0
-3.7723,1.6131,1.5754,1
-12.4736,14.9704,-1.3884,1
3.8013,-4.9143,-3.7483,1
2.9673,-1.3267,1.4551,0
10.2036,2.1787,-5.6038,0
-0.98912,2.3586,0.39481,1
-0.99326,5.2119,-0.29312,0
-7.257,7.9597,0.9211,1
-6.3175,7.9632,0.20602,0
3.764,-4.4738,-4.0483,1
-2.8846,2.2558,-0.15734,0
10.216,-3.4414,-4.0069,0
10.6878,-3.4071,-4.109,0
6.7769,-0.61979,0.38576,0
-10.5099,9.0239,-1.9547,1
8.7696,0.23191,-3.937,1
2.0838,-0.46813,-1.6767,1
-3.3584,3.4202,1.0905,0
0.091039,6.2204,-1.4828,0
3.4288,0.56265,-1.1672,1
5.5395,2.033,-0.40432,0
-4.0765,2.7587,0.31981,0
0.90427,1.1693,1.6892,0
1.2954,7.701,0.62627,0
-5.1856,3.6935,-1.1427,0
0.39315,-0.32846,-0.13794,1
1.0926,-0.35502,-0.59958,1
5.6802,-1.9693,0.026279,0
10.1622,-3.8235,-4.0172,0
10.7044,-3.3085,-4.0767,0
-0.64562,-0.42014,0.89136,1
-5.5871,8.6564,-1.722,0
-2.2535,1.518,0.61981,1
-3.4143,2.7742,-0.2026,0
8.0102,0.4247,-3.2207,1
1.1319,0.72202,0.96118,0
-13.6593,17.6052,-2.4927,1
2.7397,-2.5323,-2.234,1
10.9258,-3.8929,-4.1802,0
9.1048,-0.38758,-5.9763,1
0.97462,4.2265,0.81377,0
3.5674,-4.3882,-3.8116,1
3.1929,-2.1055,0.29653,0
-1.0553,3.8949,0.77757,1
10.4726,-3.0087,-3.2013,0
0.65181,-0.48869,-0.52716,1
3.644,-4.0746,-1.9909,1
0.44696,4.5907,-0.24398,0
5.4132,-1.8219,0.23576,0
9.5083,-3.1783,-3.0086,0
9.7939,-4.1508,-4.4582,0
-2.4583,2.2806,1.0323,0
11.6894,2.5454,-3.2763,0
4.2855,-4.8457,-2.9013,1
2.4273,0.6809,-1.0871,1
2.4914,-2.9401,-0.62156,1
8.4551,-1.672,-2.0815,0
8.5709,-3.0326,-0.59182,0
-1.1505,-0.95138,0.57843,1
2.7935,0.32274,-0.86078,1
7.3915,0.029699,-7.3987,1
9.1814,-4.6067,-4.3263,0
2.0279,-2.3652,-1.2746,1
2.1438,-0.47241,-1.6677,1
6.69,-1.2042,-0.38751,0
-0.40145,1.4855,1.1189,1
-8.4985,9.1122,1.2379,1
7.3108,-0.81857,-1.8784,0
0.8546,7.1303,0.027572,0
6.063,0.54723,0.51248,0
1.0636,-0.71232,-0.8388,1
-12.9309,13.1779,-2.5677,1
2.868,-1.8108,-2.2612,1
-3.9172,3.9746,0.36119,0
8.0081,-0.23592,-1.7608,0
-5.1153,8.6127,-1.4297,0
3.5985,1.9387,-0.43406,0
4.8587,-0.76888,-4.8668,1
6.1416,0.37929,0.56938,0
1.3492,-1.4501,-0.55949,1
8.1261,0.13081,-5.0142,1
-12.9371,15.6559,-1.6806,1
1.2395,1.997,2.1547,0
-0.062088,0.68604,-0.055186,1
6.5989,-0.3336,-0.56466,0
-1.8768,2.4023,1.1319,1
7.2673,-0.409,-2.2431,0
0.40971,1.4015,1.1952,0
11.4535,2.1092,-3.9629,0
-9.349,9.7942,-0.28018,1
2.4769,-2.9512,-0.66165,1
-2.8018,3.7115,0.99739,1
1.7485,-1.4801,-1.4181,1
8.7241,2.2215,-4.5965,0
-1.1816,1.3818,0.7336,1
2.5017,1.5215,0.903,0
3.5178,0.7623,0.81119,0
2.4769,1.9379,-0.040962,0
-0.31247,1.2815,0.41291,1
0.48213,4.7449,1.225,0
-3.584,3.6884,0.74912,0
-6.3879,5.5255,0.79955,1
9.2,0.25933,-4.6832,1
8.393,-1.361,-1.4659,0
-0.32696,2.1324,0.6017,1
8.3061,0.022844,-3.2724,0
-0.24418,1.4041,-0.45863,1
3.9213,0.70574,0.33662,0
0.81322,1.6277,0.77627,0
-3.884,3.3577,-0.0060486,0
3.0605,-1.8356,-2.834,1
4.8773,-4.9194,-5.8198,1
6.9321,-1.0456,0.23447,0
-0.16762,1.321,-0.20906,1
-6.3113,5.355,0.80472,1
10.8803,1.931,-4.3237,0
0.86909,-2.3138,0.82412,1
3.5364,0.57551,0.41938,0
0.22968,0.7126,-0.3332,1
9.0096,-3.761,-3.3371,0
-4.9932,10.4052,-0.53104,1
-3.2633,3.0895,-0.9849,0
5.8747,-2.8167,-0.30087,0
-8.5089,12.363,-0.95518,1
3.2219,-3.4302,-2.8457,1
2.3259,4.9085,0.54998,0
0.71596,1.9507,1.9375,0
9.7546,-3.1749,-2.9957,0
8.722,-3.0224,-0.59699,0
-5.6967,5.9179,0.37671,1
9.1214,-0.41929,-5.9181,1
1.3781,1.1582,0.85774,0
7.9295,0.61663,-3.2646,1
6.0319,1.6825,-0.46122,0
1.5995,-0.00029081,1.6401,0
3.2964,0.2362,-0.11984,0
8.7489,-1.2641,-1.3858,0
0.084831,-0.2462,0.45688,1
8.7779,-2.2135,-0.80647,0
2.0175,7.7618,0.93532,0
-3.2674,2.5839,0.21766,0
-13.6779,17.5795,-2.6181,1
-6.4789,5.7568,0.87325,1
8.1881,-3.1338,-2.5276,0
10.1477,-3.9366,-4.0728,0
1.3864,5.2727,-0.43536,0
1.7775,0.73745,-0.45346,1
7.3708,-0.31218,-6.7754,1
6.1664,-2.5905,-0.36553,0
5.4049,-2.5228,-0.89958,0
2.9735,0.92852,0.60558,0
0.23175,2.0133,2.0564,0
-7.2404,11.4419,-0.57113,1
0.30417,0.6569,-0.2957,1
-3.7971,3.4391,-0.12501,0
-0.94981,-1.0731,0.3211,1
3.1122,0.80857,0.4336,0
3.7061,0.70403,0.35214,0
3.8095,-4.9408,-4.0909,1
-6.4624,8.3573,-1.5216,0
-4.4552,4.5718,-0.9888,0
-0.0248,1.2421,-0.5621,0
0.74493,0.83256,0.753,0
12.1611,2.8204,-3.7418,0
7.1783,-1.5195,0.40128,0
-5.1877,10.4266,-0.86725,1
1.852,-3.0121,0.003003,1
12.6247,0.73573,-7.6612,0
7.4018,0.071684,-2.5302,0
-5.5602,4.0483,0.903,1
6.0692,0.57208,-5.4668,1
9.4007,-3.3034,-1.0509,0
9.1566,-2.1492,-4.1814,0
2.6735,-0.84085,-2.0323,1
9.2186,-3.2863,-4.8448,0
-12.5854,15.4417,-1.4983,1
-3.6275,2.8684,0.27714,0
3.6026,-1.4166,-2.8948,1
-1.7837,2.135,1.2418,1
-4.7904,3.3954,-0.53751,0
1.8541,-0.023425,1.2314,0
6.9859,-1.9967,-0.35001,0
0.22347,-0.47327,0.97024,1
8.1654,-0.023425,-2.2586,0
-0.031048,0.32616,1.1151,0
1.1484,2.1401,2.0862,0
7.6439,0.9885,-0.87371,0
-4.1634,3.5008,-0.078462,0
0.99945,-0.28562,-0.70044,1
7.2363,0.10938,-7.5642,1
2.2493,1.3458,-0.037083,0
-6.7686,6.6753,0.89912,1
9.798,-3.0361,-2.8224,0
10.1374,-1.331,-5.4707,0
0.49248,1.093,1.8276,0
7.8612,-0.87598,-3.5569,0
2.6963,-3.1226,-1.3121,1
3.9647,3.3979,0.84351,0
3.9544,-4.7412,-2.5017,1
5.6264,-2.1235,0.19309,0
-1.6906,2.518,0.51636,1
3.1205,1.075,-1.2966,1
0.43661,4.5864,-0.3151,0
0.70975,0.75716,-0.44441,0
6.0795,-0.5778,-2.2302,0
2.7956,-2.378,-2.3491,1
1.5664,7.5382,0.78403,0
-0.35799,0.44698,0.99868,0
7.05,-0.58808,0.41809,0
5.2187,-2.5425,0.5461,0
10.7727,-1.3884,-4.3276,0
-0.64976,7.6659,0.72326,0
5.616,2.2138,-0.12501,0
-8.273,10.2646,1.1629,1
11.17,-1.3824,-4.0728,0
3.3088,-2.2829,-2.1978,1
3.2777,-0.9351,-3.1457,1
1.4671,-0.72689,-1.1724,1
4.5462,2.2935,0.22541,0
10.8409,2.7827,-4.0974,0
-0.0248,1.2421,-0.5621,0
-12.7509,16.7166,-3.2168,1
9.1752,-0.27448,-6.0422,1
0.57732,1.3424,1.2133,0
0.23175,0.89082,1.1823,0
6.9383,0.57722,0.66377,0
2.3072,-2.5237,-1.4453,1
-0.78427,3.0141,0.76205,1
0.10139,0.55323,-0.2957,1
6.1437,1.7828,-0.72113,0
-2.628,3.1529,-0.08622,0
2.8473,4.3439,0.6017,0
-2.9674,2.3689,0.75429,0
